,open,high,low,close,volume
74,97600,97700,97400,97500,13490
75,97400,97500,97400,97400,7913
76,97500,97500,97400,97400,4782
77,97400,97500,97400,97400,4167
78,97500,97500,97300,97400,7597
79,97400,97400,97300,97400,13967
80,97300,97500,97300,97400,17677
81,97400,97400,97300,97300,1336
82,97400,97400,97300,97400,5115
83,97400,97600,97300,97500,18939
84,97500,97600,97500,97500,2665
85,97600,97600,97300,97400,20570
86,97400,97400,97300,97300,2928
87,97300,97500,97300,97400,8520
88,97400,97400,97300,97400,6225
89,97500,97600,97400,97600,6155
90,97500,97600,97400,97500,7843
91,97400,97500,97400,97500,1425
92,97500,97600,97400,97500,12595
93,97500,97600,97400,97400,4349
94,97400,97500,97400,97400,9837
95,97400,97500,97300,97400,2625
96,97400,97400,97300,97300,3981
97,97400,97400,97300,97400,1527
98,97400,97500,97300,97400,14390
99,97400,97500,97400,97500,3665
100,97500,97600,97400,97500,14304
101,97500,97600,97500,97500,3600
102,97600,97900,97500,97900,14598
103,97900,98000,97800,98000,9518
104,98000,98000,97900,98000,2162
105,98000,98000,97900,97900,4552
106,97900,98000,97900,98000,1996
107,98000,98000,97600,97800,17108
108,97800,97800,97700,97800,2677
109,97800,97900,97700,97900,4712
110,97900,98000,97800,97900,3817
111,97900,98000,97900,98000,2415
112,98000,98000,97900,98000,2183
113,98000,98000,97800,97800,12186
114,97900,97900,97700,97800,7877
115,97800,97800,97700,97800,1954
116,97700,97800,97600,97600,13574
117,97700,97700,97500,97600,7520
118,97600,97600,97400,97500,12110
119,97400,97500,97300,97400,12470
120,97300,97500,97300,97500,7677
121,97400,97600,97400,97600,6310
122,97600,97600,97500,97600,1896
123,97600,97600,97500,97600,1796
124,97600,97700,97500,97600,5861
125,97600,97800,97600,97800,5825
126,97800,97900,97700,97700,10605
127,97800,97800,97600,97700,2648
128,97700,97700,97500,97500,9188
129,97500,97500,97400,97400,7706
130,97400,97500,97300,97500,7219
131,97500,97500,97400,97500,4972
132,97400,97600,97400,97500,6995
133,97500,97500,97400,97400,1331
134,97400,97500,97300,97400,13317
135,97400,97400,97300,97300,8800
136,97300,97300,97200,97300,6790
137,97200,97300,97200,97300,10297
138,97400,97400,97300,97400,1381
139,97400,97400,97200,97200,11110
140,97300,97300,97200,97300,2057
141,97300,97400,97200,97400,7522
142,97400,97500,97300,97400,4199
143,97300,97400,97200,97300,4038
144,97300,97300,97200,97300,4831
145,97300,97500,97200,97400,5113
146,97400,97500,97300,97400,2903
147,97300,97400,97300,97400,1270
148,97400,97400,97300,97400,6914
149,97300,97500,97300,97400,6534
150,97400,97500,97300,97400,1912
151,97400,97700,97300,97600,13955
152,97600,97600,97500,97600,958
153,97600,97600,97400,97500,5764
154,97500,97500,97400,97400,1280
155,97500,97600,97400,97500,4342
156,97600,97600,97500,97600,4467
157,97600,97700,97500,97700,4629
158,97600,97800,97600,97700,7331
159,97700,97700,97600,97600,937
160,97700,97800,97600,97700,9543
161,97700,97800,97700,97800,1097
162,97800,97800,97700,97800,1873
163,97700,97800,97600,97700,6491
164,97700,97700,97600,97700,1007
165,97700,97800,97600,97800,5344
166,97700,97800,97700,97700,2951
167,97800,97800,97700,97800,908
168,97800,98000,97700,98000,7259
169,98000,98000,97900,98000,1319
170,98000,98000,97900,98000,1728
171,98000,98000,97900,98000,1807
172,98000,98000,97900,98000,1201
173,98000,98000,97900,98000,2995
174,98000,98000,97800,97900,6884
175,97800,97900,97700,97800,6768
176,97800,97800,97700,97800,948
177,97800,97900,97700,97900,5560
178,97900,97900,97800,97900,1778
179,97900,97900,97800,97800,2047
180,97900,97900,97600,97800,9830
181,97700,97900,97700,97900,1452
182,97900,98000,97800,98000,4409
